id,event_id,division,distance_m,rank,bib,skater_name,best_time_text,best_time_seconds,page_number,affiliation,club_id,skater_id
,128,Group 1,1000,11,167,Uri Hoch,3:18.870,198.87,,,,506
,128,Group 1,500,1,220,Keith Wobeser,0:52.980,52.98,,,,67
,128,Group 1,500,2,168,Jesse Hoffman,0:55.130,55.13,,,,274
,128,Group 1,500,3,121,Ji Jung,0:55.380,55.38,,,,1666
,128,Group 1,500,4,150,Daniel Butler,0:56.130,56.13,,,,49
,128,Group 1,500,5,199,Brian Redding,1:02.200,62.2,,,,275
,128,Group 1,500,6,171,Vlad Khodik,1:05.190,65.19,,,,366
,128,Group 1,500,7,122,Lyra Katzman,1:05.410,65.41,,,,271
,128,Group 1,500,8,158,Chase Ferry,1:05.790,65.79,,,,1651
,128,Group 1,500,9,188,Shawn Michalek,1:06.290,66.29,,,,342
,128,Group 1,500,10,147,Martin Bednar,1:20.580,80.58,,,,148
,128,Group 1,500,11,167,Uri Hoch,1:30.790,90.79,,,,506
,128,Group 1,777,1,220,Keith Wobeser,1:25.250,85.25,,,,67
,128,Group 1,777,2,168,Jesse Hoffman,1:26.350,86.35,,,,274
,128,Group 1,777,3,121,Ji Jung,1:26.780,86.78,,,,1666
,128,Group 1,777,4,150,Daniel Butler,1:27.070,87.07,,,,49
,128,Group 1,777,5,158,Chase Ferry,1:40.750,100.75,,,,1651
,128,Group 1,777,6,188,Shawn Michalek,1:41.030,101.03,,,,342
,128,Group 1,777,7,199,Brian Redding,1:42.390,102.39,,,,275
,128,Group 1,777,8,122,Lyra Katzman,1:42.390,102.39,,,,271
,128,Group 1,777,9,171,Vlad Khodik,2:04.170,124.17,,,,366
,128,Group 1,777,10,147,Martin Bednar,2:06.140,126.14,,,,148
,128,Group 2,1000,1,211,Ian Sulkoske,1:48.290,108.29,,,,242
,128,Group 2,1000,2,175,Ayden Lee,1:49.440,109.44,,,,117
,128,Group 2,1000,3,226,Evan Zhang,1:49.640,109.64,,,,95
,128,Group 2,1000,4,197,Loki Ranta,1:49.950,109.95,,,,103
,128,Group 2,1000,5,161,Narendran Gopinath,1:50.870,110.87,,,,84
,128,Group 2,1000,6,178,Lucas Li,1:52.510,112.51,,,,387
,128,Group 2,1000,7,146,Ilchan Bae,1:53.400,113.4,,,,164
,128,Group 2,1000,8,192,Hayden Peck,1:53.510,113.51,,,,1475
,128,Group 2,1000,9,165,Jacoby Hartshorn,1:55.250,115.25,,,,305
,128,Group 2,1000,10,128,Jei Lim,1:57.890,117.89,,,,492
,128,Group 2,1000,11,186,Eliyahu Louz,1:59.020,119.02,,,,623
,128,Group 2,1000,12,216,Bryan Wang,2:08.930,128.93,,,,53
,128,Group 2,500,1,211,Ian Sulkoske,0:50.610,50.61,,,,242
,128,Group 2,500,2,197,Loki Ranta,0:52.290,52.29,,,,103
,128,Group 2,500,3,175,Ayden Lee,0:52.620,52.62,,,,117
,128,Group 2,500,4,146,Ilchan Bae,0:52.910,52.91,,,,164
,128,Group 2,500,5,161,Narendran Gopinath,0:53.610,53.61,,,,84
,128,Group 2,500,6,186,Eliyahu Louz,0:53.910,53.91,,,,623
,128,Group 2,500,7,226,Evan Zhang,0:54.370,54.37,,,,95
,128,Group 2,500,8,178,Lucas Li,0:54.480,54.48,,,,387
,128,Group 2,500,9,192,Hayden Peck,0:54.540,54.54,,,,1475
,128,Group 2,500,10,128,Jei Lim,0:54.900,54.9,,,,492
,128,Group 2,500,11,165,Jacoby Hartshorn,0:55.230,55.23,,,,305
,128,Group 2,777,1,211,Ian Sulkoske,1:20.130,80.13,,,,242
,128,Group 2,777,2,197,Loki Ranta,1:21.280,81.28,,,,103
,128,Group 2,777,3,161,Narendran Gopinath,1:23.880,83.88,,,,84
,128,Group 2,777,4,175,Ayden Lee,1:24.630,84.63,,,,117
,128,Group 2,777,5,226,Evan Zhang,1:24.980,84.98,,,,95
,128,Group 2,777,6,178,Lucas Li,1:25.450,85.45,,,,387
,128,Group 2,777,7,192,Hayden Peck,1:25.760,85.76,,,,1475
,128,Group 2,777,8,186,Eliyahu Louz,1:27.480,87.48,,,,623
,128,Group 2,777,9,165,Jacoby Hartshorn,1:28.480,88.48,,,,305
,128,Group 2,777,10,146,Ilchan Bae,1:32.030,92.03,,,,164
,128,Group 2,777,11,128,Jei Lim,1:34.130,94.13,,,,492
