id,event_id,division,distance_m,rank,bib,skater_name,best_time_text,best_time_seconds,page_number,affiliation,club_id,skater_id
,162,Division 1,255,1,201,Edwin Niu,0:45.543,45.543,,PGS,9,869
,162,Division 1,255,2,202,Andrew Youn,0:45.720,45.72,,PGS,9,963
,162,Division 1,255,3,203,Vincent Gu,0:50.740,50.74,,PGS,9,1178
,162,Division 1,440,1,202,Andrew Youn,1:17.977,77.977,,PGS,9,963
,162,Division 1,440,2,201,Edwin Niu,1:20.675,80.675,,PGS,9,869
,162,Division 1,440,3,203,Vincent Gu,1:30.620,90.62,,PGS,9,1178
,162,Division 2,255,1,207,Winston Dang,0:35.147,35.147,,PGS,9,756
,162,Division 2,255,2,209,Ari Im*,0:35.330,35.33,,PGS,9,696
,162,Division 2,255,3,205,Jonathan Lee,0:35.403,35.403,,PGS,9,585
,162,Division 2,255,4,208,Brandon So,0:36.019,36.019,,PGS,9,755
,162,Division 2,255,5,204,Ethan Zhou,0:36.647,36.647,,PGS,9,627
,162,Division 2,255,6,210,Soyool (Aria) Shin*,0:38.870,38.87,,PGS,9,733
,162,Division 2,595,1,207,Winston Dang,1:22.134,82.134,,PGS,9,756
,162,Division 2,595,2,209,Ari Im*,1:22.384,82.384,,PGS,9,696
,162,Division 2,595,3,205,Jonathan Lee,1:23.750,83.75,,PGS,9,585
,162,Division 2,595,4,204,Ethan Zhou,1:26.318,86.318,,PGS,9,627
,162,Division 2,595,5,208,Brandon So,1:26.402,86.402,,PGS,9,755
,162,Division 2,595,6,210,Soyool (Aria) Shin*,1:38.043,98.043,,PGS,9,733
,162,Division 3,500,1,216,Chloe Kim*,0:54.973,54.973,,PGS,9,344
,162,Division 3,500,2,214,Jenn Oh*,0:56.906,56.906,,PGS,9,628
,162,Division 3,500,3,215,Shirn Dang*,0:57.123,57.123,,PGS,9,3607
,162,Division 3,500,4,213,Nikita Quezon*,1:03.939,63.939,,PGS,9,782
,162,Division 3,500,5,211,Aaron Zhou,1:07.904,67.904,,PGS,9,629
,162,Division 3,500,6,212,Mason Ha,1:13.944,73.944,,PGS,9,783
,162,Division 3,1000,1,216,Chloe Kim*,2:07.877,127.877,,PGS,9,344
,162,Division 3,1000,2,215,Shirn Dang*,2:10.410,130.41,,PGS,9,3607
,162,Division 3,1000,3,214,Jenn Oh*,2:11.759,131.759,,PGS,9,628
,162,Division 3,1000,4,213,Nikita Quezon*,2:18.272,138.272,,PGS,9,782
,162,Division 3,1000,5,211,Aaron Zhou,2:20.874,140.874,,PGS,9,629
,162,Division 3,1000,6,212,Mason Ha,2:28.283,148.283,,PGS,9,783
,162,Division 4,500,1,218,Juliette Song*,0:53.040,53.04,,PGS,9,3892
,162,Division 4,500,2,222,Leah Choi*,0:53.173,53.173,,PGS,9,655
,162,Division 4,500,3,219,Elisha Lee*,0:54.223,54.223,,PGS,9,657
,162,Division 4,500,4,221,Allison La*,0:54.590,54.59,,PGS,9,1009
,162,Division 4,500,5,220,Aileen Oh*,0:55.010,55.01,,PGS,9,619
,162,Division 4,500,6,223,Audrey Han*,0:55.362,55.362,,PGS,9,618
,162,Division 4,1000,1,222,Leah Choi*,2:03.708,123.708,,PGS,9,655
,162,Division 4,1000,2,218,Juliette Song*,2:05.497,125.497,,PGS,9,3892
,162,Division 4,1000,3,223,Audrey Han*,2:06.124,126.124,,PGS,9,618
,162,Division 4,1000,4,220,Aileen Oh*,2:06.240,126.24,,PGS,9,619
,162,Division 4,1000,5,221,Allison La*,2:06.530,126.53,,PGS,9,1009
,162,Division 4,1000,6,219,Elisha Lee*,2:06.940,126.94,,PGS,9,657
,162,Division 5,500,1,230,Elrond Gica,0:48.828,48.828,,PGS,9,735
,162,Division 5,500,2,226,Colin Lee,0:48.978,48.978,,PGS,9,654
,162,Division 5,500,3,225,Enoch Jeon,0:49.661,49.661,,PGS,9,1581
,162,Division 5,500,4,229,Jayden Oh,0:51.767,51.767,,PGS,9,837
,162,Division 5,500,5,228,Eric Choi,0:56.166,56.166,,PGS,9,677
,162,Division 5,500,6,224,Nathan Ifrah,1:00.480,60.48,,MTV,78,1693
,162,Division 5,500,7,227,Aaron Choi,1:01.647,61.647,,PGS,9,656
,162,Division 5,1000,1,230,Elrond Gica,1:52.362,112.362,,PGS,9,735
,162,Division 5,1000,2,225,Enoch Jeon,1:52.745,112.745,,PGS,9,1581
,162,Division 5,1000,3,226,Colin Lee,1:56.533,116.533,,PGS,9,654
,162,Division 5,1000,4,228,Eric Choi,1:58.726,118.726,,PGS,9,677
,162,Division 5,1000,5,229,Jayden Oh,2:00.997,120.997,,PGS,9,837
,162,Division 5,1000,6,227,Aaron Choi,2:04.773,124.773,,PGS,9,656
,162,Division 5,1000,7,224,Nathan Ifrah,2:04.890,124.89,,MTV,78,1693
,162,Division 6,500,1,235,Jeremy Kerslake,0:59.380,59.38,,PGS,9,697
,162,Division 6,500,2,232,Mike Jernquist,0:59.720,59.72,,PGS,9,815
,162,Division 6,500,4,234,Eric Moberly,1:10.560,70.56,,PGS,9,890
,162,Division 6,500,5,233,Edison Gica,1:32.950,92.95,,PGS,9,816
,162,Division 6,1000,1,235,Jeremy Kerslake,1:59.375,119.375,,PGS,9,697
,162,Division 6,1000,2,232,Mike Jernquist,1:59.724,119.724,,PGS,9,815
,162,Division 6,1000,3,231,Branden DeMass,2:08.020,128.02,,PGS,9,784
,162,Division 6,1000,4,234,Eric Moberly,2:23.762,143.762,,PGS,9,890
,162,Division 6,1000,5,233,Edison Gica,3:08.988,188.988,,PGS,9,816
