club_id,full_name,primary_abbreviation,city,state_province,country,type,usa_skater_count
106,Greece,GRE,,,Greece,country,0
107,Hong Kong,HKG,,,Hong Kong,country,0
108,Hungary,HUN,,,Hungary,country,0
109,India,IND,,,India,country,0
110,Indonesia,INA,,,Indonesia,country,0
111,Italy,ITA,,,Italy,country,0
112,Japan,JPN,,,Japan,country,2
113,Kazakhstan,KAZ,,,Kazakhstan,country,0
114,Netherlands,NED,,,Netherlands,country,0
115,New Zealand,NZL,,,New Zealand,country,0
116,Norway,NOR,,,Norway,country,0
117,Philippines,PHI,,,Philippines,country,0
118,Poland,POL,,,Poland,country,0
119,Romania,ROU,,,Romania,country,0
120,Singapore,SGP,,,Singapore,country,0
121,Slovakia,SVK,,,Slovakia,country,0
122,South Korea,KOR,,,South Korea,country,2
123,Spain,ESP,,,Spain,country,0
124,Sweden,SWE,,,Sweden,country,0
125,Switzerland,SUI,,,Switzerland,country,1
126,United States,USA,,,United States,country,46
127,Uzbekistan,UZB,,,Uzbekistan,country,0
